ID_code,target,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,var_10,var_11,var_12,var_13,var_14,var_15,var_16,var_17,var_18,var_19,var_20,var_21,var_22,var_23,var_24,var_25,var_26,var_27,var_28,var_29,var_30,var_31,var_32,var_33,var_34,var_35,var_36,var_37,var_38,var_39,var_40,var_41,var_42,var_43,var_44,var_45,var_46,var_47,var_48,var_49,var_50,var_51,var_52,var_53,var_54,var_55,var_56,var_57,var_58,var_59,var_60,var_61,var_62,var_63,var_64,var_65,var_66,var_67,var_68,var_69,var_70,var_71,var_72,var_73,var_74,var_75,var_76,var_77,var_78,var_79,var_80,var_81,var_82,var_83,var_84,var_85,var_86,var_87,var_88,var_89,var_90,var_91,var_92,var_93,var_94,var_95,var_96,var_97,var_98,var_99,var_100,var_101,var_102,var_103,var_104,var_105,var_106,var_107,var_108,var_109,var_110,var_111,var_112,var_113,var_114,var_115,var_116,var_117,var_118,var_119,var_120,var_121,var_122,var_123,var_124,var_125,var_126,var_127,var_128,var_129,var_130,var_131,var_132,var_133,var_134,var_135,var_136,var_137,var_138,var_139,var_140,var_141,var_142,var_143,var_144,var_145,var_146,var_147,var_148,var_149,var_150,var_151,var_152,var_153,var_154,var_155,var_156,var_157,var_158,var_159,var_160,var_161,var_162,var_163,var_164,var_165,var_166,var_167,var_168,var_169,var_170,var_171,var_172,var_173,var_174,var_175,var_176,var_177,var_178,var_179,var_180,var_181,var_182,var_183,var_184,var_185,var_186,var_187,var_188,var_189,var_190,var_191,var_192,var_193,var_194,var_195,var_196,var_197,var_198,var_199
train_66955,0,14.12,1.4931,11.2466,7.2198,12.029,-0.1229,4.8173,13.8289,-6.3586,7.6573,-1.3599,5.9097,13.9823,6.129,7.9133,14.3418,14.8898,-0.9099,24.3692,11.5943,21.0879,16.6901,2.9632,3.507,14.2747,14.2784,-11.9147,-2.9445,4.8879,10.2372,-13.1476,10.9257,-2.1255,22.5406,10.7548,2.0105,-3.5953,5.6798,9.7569,4.4407,8.8259,-1.3422,10.9164,11.9641,14.8962,35.2235,9.854,-8.1909,-0.4135,20.0516,13.8974,18.5086,-2.8756,7.5772,-16.7405,21.7122,17.3212,6.2112,-2.841,9.1245,12.0361,-6.2192,2.5152,-1.5745,5.5439,6.3078,4.8009,18.8799,5.0188,-0.8224,14.1913,0.5744,8.6572,19.431,30.5188,9.5953,1.032,12.8433,6.1351,12.6864,16.361,14.4187,2.1079,0.7814,1.5075,24.7745,-2.0869,15.233,8.4518,-0.9041,-10.7675,6.9946,8.5806,9.1883,13.0144,-1.0956,19.5429,24.4533,1.6599,0.0621,1.0518,8.0797,35.2517,1.344,10.9014,3.2884,5.4806,9.2729,14.5112,19.3207,12.6276,8.7633,5.5344,2.8105,4.4432,3.9193,3.6823,26.2882,-9.844,7.8774,21.9662,12.2331,-8.9687,10.187,7.7809,12.3034,12.7589,5.2519,3.192,6.1117,11.4507,0.9584,9.6095,6.5926,-13.9263,-9.7372,20.123,14.1953,8.468,-6.0835,5.6493,11.3164,15.3878,14.8219,7.9694,3.1963,8.4227,6.7043,4.1731,12.2487,14.5522,14.5759,12.7063,15.8559,13.9422,-3.1782,13.4808,3.1153,17.7223,11.5283,11.1357,5.2233,4.2912,18.6604,-7.4727,18.0032,2.9252,0.2735,0.9894,5.9104,3.213,2.4668,16.777,-8.6809,26.8842,10.1942,4.1723,12.8398,-4.0617,2.1737,-3.6941,8.965,9.5623,13.9771,17.6725,0.3953,9.1231,-6.3428,6.5171,-0.7353,3.2252,11.6953,-1.6718,10.1541,23.6156,0.7098,5.464,8.9665,14.0341,8.1965
train_181826,0,11.1649,6.8016,15.5135,3.1032,9.7554,-7.1749,4.5273,18.8509,3.9808,8.5319,-1.8243,5.501,13.7284,13.5643,7.6683,15.3022,8.7196,-11.911,8.3973,15.8376,18.7724,16.575,1.5407,4.1234,7.9953,13.6155,-8.9224,-2.4166,6.1247,3.5819,-9.5121,8.4297,-0.5266,21.7092,11.3585,2.2497,6.0628,9.0079,10.2382,-0.0018,-3.1432,7.8484,11.5646,11.5543,10.6394,-8.0629,12.8117,0.7685,14.3414,25.3359,13.3474,21.3683,-6.826,6.2705,-12.1278,13.0166,14.3666,7.0617,0.2159,8.2887,4.1509,-4.4819,-1.2245,-0.2464,5.7202,-4.7331,5.3434,2.5085,5.0279,-3.8903,17.2855,0.737,-6.2536,20.4877,19.6487,14.3916,13.1169,27.3026,8.3664,13.3039,13.607,19.1169,1.5411,2.0688,-8.19,15.5061,17.3931,8.2013,5.9245,2.7913,-1.3602,6.8544,5.1959,10.4317,14.7628,-0.2488,10.2586,4.5413,2.5644,1.0204,0.7649,1.8646,29.7088,1.7275,10.114,5.1325,6.4908,18.9598,14.0711,23.3606,4.4587,6.3759,3.7877,6.2145,3.0619,0.2012,3.3182,35.8249,5.1046,-2.8377,-0.6721,10.5538,1.1787,8.0124,7.6882,12.566,13.0278,4.0681,-0.0679,10.7067,13.5811,0.6921,8.4306,5.8546,-11.1548,-14.9552,22.2724,4.5989,5.0902,10.3967,4.3705,-8.6122,13.8152,13.2595,8.9151,4.0732,9.6072,-7.6793,4.1783,-0.7037,13.5079,10.2438,7.2991,16.4139,11.7696,1.0785,11.7866,-1.9402,16.4307,5.7819,11.1136,5.7911,3.9951,11.4549,-12.3583,26.0707,2.7736,-7.8803,-0.9428,5.7047,2.4283,-0.3668,33.1554,7.6175,25.5717,12.1251,-9.7123,12.358,8.571,2.0627,1.5561,11.6932,-4.9562,3.6134,7.8957,-14.1749,8.9834,-12.1411,18.0806,2.0451,0.4855,6.0825,2.2542,-2.9664,16.607,-1.8338,8.1074,10.2154,13.9293,-18.4751
train_82305,1,13.5641,2.1352,8.6899,10.846,12.2817,4.9212,5.1618,10.787,8.3685,7.1221,7.3488,1.8639,13.8581,13.6015,8.5896,13.9369,8.5194,-5.559,27.0394,7.6727,8.5874,5.6399,7.2104,3.9021,19.3473,13.7696,2.0036,-0.6332,6.4052,3.1572,-17.75,11.7741,0.4059,12.6804,12.0021,4.8875,1.8864,8.0069,6.6547,-3.8558,-23.1478,2.4188,11.9902,11.3211,1.6769,-50.0348,14.206,2.4476,7.2986,16.1218,11.6743,14.5027,6.7552,6.9325,3.835,10.9069,9.5798,5.6488,2.0556,8.9434,6.2531,-0.2062,6.1547,-2.9402,5.8316,-1.7137,8.211,17.1756,5.0207,4.8287,31.5716,0.4913,-5.1161,30.6617,8.2191,11.1497,8.2149,19.3145,7.6942,16.3307,17.4141,11.3612,1.5571,17.7279,3.6235,20.5245,10.2011,5.937,6.6766,3.2746,-34.705,6.9853,11.9328,9.8441,13.1069,-0.7918,7.543,24.8253,0.1161,2.2351,6.4634,19.022,13.5679,1.447,8.835,4.6342,11.1667,21.1684,14.145,13.9892,4.9664,4.6185,4.9948,6.1054,4.2678,0.1875,0.544,17.6304,-7.0957,0.8445,-2.1389,11.2866,1.5545,10.0978,5.1504,12.3919,14.69,0.1569,-0.3302,12.5359,13.0476,-0.5265,7.4921,6.9381,-9.6346,0.0788,27.5325,0.4033,-4.6588,1.5791,-0.5352,7.3216,23.9767,12.6944,8.8572,0.7782,7.6639,-5.402,4.3307,13.7004,17.2897,12.4836,5.0416,20.5616,11.9028,-2.8129,12.42,-0.7162,25.5909,9.0832,29.0027,5.0666,6.8853,2.9946,-4.5467,19.3292,2.7435,-0.8088,3.8293,6.1093,-1.5028,2.9359,19.37,-13.7188,23.5733,12.7834,-12.8251,10.5233,-11.2539,3.7299,-4.6967,9.027,3.3707,15.0621,3.9958,-3.5455,4.606,-25.764,20.6176,0.9507,5.0847,6.2606,2.3655,0.8305,22.4586,-0.2244,-4.5344,9.7357,18.3279,15.0489
train_8768,0,9.3656,-1.9842,13.1183,7.0489,10.5622,4.9823,5.4422,16.9613,-1.194,7.7608,-0.4052,3.1652,14.3083,6.5895,12.1617,14.9184,11.2635,0.1988,2.2652,18.0029,19.7151,7.1221,7.1105,3.2491,8.9069,13.4895,7.0143,-0.3621,5.7533,1.8517,-13.0368,12.0842,-1.6873,9.8757,12.0615,2.7917,0.9483,3.4832,12.8703,0.473,0.4115,11.0599,11.8008,11.7955,4.7798,-29.1981,11.2504,-7.4936,12.2167,10.6996,13.572,27.3898,3.8523,4.4624,10.971,11.0706,14.271,7.0934,5.1739,10.4929,20.7369,-29.993,1.7117,-3.6628,5.2062,1.3279,5.3918,1.8938,5.0175,-2.4906,31.4598,0.3941,-1.9404,19.4784,32.6189,22.1884,15.2872,14.5469,6.4438,14.7291,10.5037,14.5571,-17.2572,7.4632,1.2035,16.5523,9.5677,-0.5036,7.8844,4.7062,-24.0386,6.9744,13.2757,10.0116,12.8377,-0.4088,26.4869,-2.6964,-0.0101,-0.3277,-15.7222,20.5004,22.3267,1.7778,11.1725,6.2172,7.4226,5.7789,14.0982,25.4227,3.962,6.0933,-0.3011,11.4834,3.3599,-2.1645,1.8911,7.9192,-9.7367,8.7692,31.7886,13.1641,4.4927,9.4249,0.4425,13.1423,11.8222,4.9019,-3.544,11.1061,12.7418,0.7674,8.1843,6.3174,-5.5867000000000004,-5.7208,35.9524,25.5563,8.0235,16.1547,-0.7059,9.6294,13.2634,9.7937,7.9479,2.4649,12.8691,7.5059,4.1463,1.5695,14.4033,12.1385,0.5735,19.0969,8.6855,1.7812,13.5428,-6.7431,10.3978,6.9034,44.7286,5.7209,7.203,13.704,-10.0747,25.6707,3.3797,-2.2396,10.8086,6.055,-3.7781,-9.0962,23.7757,-4.0293,26.0613,10.0519,-10.6799,12.2438,0.248,0.7465,-5.5081,12.2104,-4.5957,14.2858,14.842,7.0257,8.7242,-23.5089,13.7969,0.6061,5.9594,6.079,1.7531,-0.6764,20.5775,0.0592,6.2416,9.2089,13.5608,-7.6822
train_152696,0,10.3201,-4.9457,10.4186,9.1539,11.9699,2.3653,5.7071,13.032,-0.9105,7.4139,-0.9725,-2.573,13.9672,11.8089,10.553,14.2433,6.8041,7.0263,6.6034,0.9875,14.6534,21.7083,4.1087,3.0892,14.0658,13.6182,-7.4382,-0.9417,5.6522,4.1123,-9.2977,10.7519,-1.7823,10.7596,10.4777,8.6197,-1.9782,7.4177,17.0289,-1.5941,-16.247,8.6342,11.0621,11.8233,12.7274,-57.9487,10.6744,7.5346,4.0053,32.6856,13.1517,-2.0474,-8.8055,5.823,4.0361,16.4342,14.4054,7.4108,1.8029,7.3307,3.9925,-21.2535,-1.5795,-0.1863,6.7167,-1.1244,5.9289,-0.7091,5.0123,-7.7254,5.3611,0.5762,5.9741,24.5859,-5.6167,12.1529,9.2869,27.0795,6.1598,14.8932,8.8641,15.9863,-9.335,-4.6181,-7.8156,20.0996,1.0185,16.1015,2.7952,3.8246000000000002,-29.0721,6.8215,10.5693,9.9978,11.5208,0.2634,3.3234,11.3611,2.4567,-1.2758,-12.1657,8.6552,10.7329,1.4605,12.5752,3.6785,13.4029,23.7634,13.9427,12.6848,4.9565,8.1814,4.206,10.2346,1.7626,4.5503,3.7785,25.3914,-18.8967,6.1003,48.2263,11.4022,4.8439,0.8816,4.0576,12.6736,13.6204,-0.3694,0.6421,13.7507,12.504,1.2361,8.1106,7.0098,-3.8392,-19.9157,25.0371,4.0477,-4.1591,9.1303,4.5502,7.6064,9.4085,16.6748,10.0197,6.7375,13.8342,-7.7146,3.7863,-2.0075,15.4408,13.2059,10.7721,15.1949,2.3022,-8.0091,14.2607,-10.3997,32.8129,6.0179,12.9843,5.4593,4.8894,20.933,-11.1951,10.3398,2.7721,-6.5796,1.2637,5.6626,-2.0957,-6.4089,4.409,-10.8053,23.8978,9.6628,9.3506,10.1482,7.6138,-0.0991,-5.1029,7.7943,-11.5766,0.8626,20.8328,-4.1707,7.6297,-23.3547,16.5421,2.4493,8.5919,3.1147,0.7735,1.8917,21.9793,-2.1467,10.4282,7.6368,15.2432,-9.3702
train_150084,1,10.2803,3.7134,16.6847,4.7897,9.7704,4.6524,6.8732,12.0603,-2.3384,6.3628,-2.3978,-8.1829,14.0621,1.572,12.4763,14.3382,8.5937,4.0893,26.9006,9.1259,24.6827,7.8789,-0.2364,3.3949,7.5539,13.5972,-14.7299,-2.6998,6.6877,6.2133,-13.17,8.3033,2.2667,10.1679,11.1376,14.6249,5.7483,5.7637,12.2262,4.5147,-10.7708,4.2883,10.8439,11.8759,9.1307,-15.2388,11.0055,-31.5739,26.4091,17.9857,11.6799,10.8606,4.8778,5.7479,-5.3957,8.8492,11.8183,6.3997,0.3408,9.3831,7.5553,-21.1959,0.8966,1.8828,8.2624,8.3732,4.1958,19.6272,5.0281,-0.3385,40.9085,0.9497,1.8391,14.3158,3.9321,15.5171,3.1425,20.2462,7.2285,14.5911,-0.2013,14.4528,-9.4391,-5.0899,-3.292,10.3963,5.2716,12.0899,9.0014,0.7278,-34.4666,7.342,14.0471,10.3213,13.1887,-0.8806,7.714,19.5463,0.7954,-0.4307,-16.1984,12.9158,-0.7904,1.6469,9.4276,5.3226,6.4387,14.4961,13.8122,25.1463,2.9323,5.9113,3.8094,3.6593,3.0877,0.3514,0.7323,5.8771,-10.2985,7.5916,44.6628,11.1101,-0.9171,13.834,3.006,12.9018,12.8013,3.8544,5.1855,12.9027,13.1877,1.0703,8.9859000000000009,6.4215,-9.998,-1.6851,11.5175,30.937,10.0592,13.5706,3.8517,3.2303,9.3044,8.4186,6.3886,8.7815,11.1029,8.0511,3.806,7.5991,18.4856,4.8767,6.05,14.9625,9.274,-9.5995,15.0057,0.9763,16.9163,13.5495,42.9411,5.4939,7.7655,6.7514,-0.8173,18.9739,2.3901,-3.8138,5.6184,5.3588,8.8116,-1.4604,35.0669,7.0262,25.0158,13.2522,-9.2261,8.3249,0.3388,9.9067,-3.0599,11.1919,-6.9957,12.2206,7.1277,-2.2084,9.0953,-1.858,10.5154,1.8267,3.5125,6.7041,2.4442,3.0731,11.803,-1.5698,11.2072,8.9768,19.3585,-1.281
train_159985,0,15.0518,-5.0131,12.5199,7.3422,13.5516,-15.5156,3.8696,16.9792,5.0516,5.88,-8.1408,3.3371,14.1776,14.3808,5.4371,14.9287,7.2061,-15.7018,11.4242,1.7252,9.9274,30.3245,4.4405,3.8831,15.0164,13.755,-11.1348,-2.1355,6.7364,6.5281,3.1541,10.9466,-3.0632,15.1161,11.8952,6.2589,5.5126,8.0658,4.9521,2.8065,0.5754,11.1928,12.1934,11.741,3.8212,-7.4016,10.1091,-7.8573,22.3417,33.5051,12.8567,11.4959,6.4586,4.9321,4.8823,19.5447,6.3745,6.1952,4.1225,7.576,9.4209,-24.199,2.5926,-0.4228,8.721,4.9956,5.9347,3.4743,5.0275,-5.1968,38.9094,0.6517,1.6153,29.4233,9.913,23.2916,-12.1653,22.0092,4.0973,14.8596,10.6684,16.4442,1.0629,-3.4715,-4.284,20.5116,13.8829,12.7553,8.1782,4.2119,-1.2017,6.9456,10.1635,10.1544,9.1673,-0.5146,21.9042,10.6059,1.8656,0.6554,-8.5592,13.9786,11.6984,1.744,11.5223,4.9836,4.4469,21.5482,14.0065,20.4636,4.0989,5.281,2.8592,12.106,2.7506,2.8199,1.7918,22.0417,-9.9417,1.5889,31.8636,9.1857,-3.9169,14.5276,3.4129,12.2202,12.7734,-1.8884,4.0756,18.6713,12.6819,0.7466,7.6246,6.3281,-10.4272,-11.7523,26.0374,26.5356,0.0136,7.985,7.1724,-0.9191,22.4929,14.9171,6.9483,8.8829,7.1263,-5.6515,3.8952,5.0215,17.8333,2.3516,11.286,16.6409,1.8634,12.7524,13.9524,1.8754,33.9744,16.8668,38.2729,5.333,7.8751,22.8821,-9.0809,25.4175,3.2098,-0.9617,4.2906,5.8187,-1.4721,4.3457,18.4873,3.8251,23.8639,14.0204,6.2652,16.2442,-1.482,3.5269,-7.5515,8.9108,-4.5718,15.141,8.4121,-2.3273,1.1565,-29.2061,17.963,0.6907,4.8445,7.261,1.2401,4.6218,19.4222,0.8827,-2.6472,8.1046,17.8515,2.6542
train_176945,1,11.0073,-1.1139,8.2743,7.261,9.2133,2.6192,4.4737,19.887,-1.0857,8.0744,7.6345,-3.216,13.9785,16.0536,7.5132,15.2751,11.3619,-7.7308,11.3086,9.1452,7.1684,21.0512,10.4891,2.6853,11.9868,14.2228,2.6907,-1.7999,7.4023,6.0954,-8.4095,11.1102,2.8771,12.8892,11.3715,-2.6983,7.1307,6.3573,11.8998,2.5286,-20.429,15.3169,10.3173,11.6927,13.2391,-43.4926,13.1579,-22.2398,10.9628,17.4807,12.9685,24.6542,-8.082,6.3685,-10.166,4.5864,15.5737,5.3571,-0.4602,10.2503,15.7905,9.1436,0.0793,3.7596,7.5081,-3.0166,7.7758,11.8876,5.0335,-7.795,20.8475,0.5737,3.9225,12.683,8.9499,11.2631,-3.6911,25.7492,3.7241,16.5751,2.1012,16.0129,-5.1648,11.5303,2.3895,15.5129,7.6789,21.0472,8.0561,1.212,-3.9069,6.9853,12.0305,10.2949,13.2254,0.7201,19.0419,10.3715,0.4999,-3.6626,9.723,17.6956,14.5356,1.8517,13.7489,4.0326,7.9755,20.8162,14.1118,20.6487,11.918,6.2672,2.2068,10.3367,1.9803,1.8419,3.6702,32.1532,7.5612,6.4354,51.0158,10.0079,0.6306,6.3771,4.2739,12.5908,14.0136,-0.6494,-2.5086,17.1326,13.1771,0.4805,7.8668,6.7275,-13.9029,-8.8627,19.7994,17.283,-4.2518,5.6035,5.1935,-7.2729,7.8216,14.3883,8.8327,-2.5531,11.9349,-6.7382,3.9466,19.9755,15.104,13.0815,7.1427,16.94,3.3238,-8.2824,12.7996,-5.8665,7.9187,8.5764,31.5892,5.9784,5.4522,8.8808,-3.0573,14.9725,3.2685,4.7132,7.2588,4.9892,7.0804,2.3035,34.8534,-0.3196,13.8692,14.7591,-15.5239,13.3418,1.9242,1.9013,-1.908,10.2342,-1.3095,12.1134,22.3106,-1.938,3.9989,3.7946,11.5922,2.0612,2.4641,10.3174,1.2619,-0.1499,17.5635,1.2092,-0.6323,8.7987,18.871,5.4671
train_89783,0,8.3024,-2.7485,10.2662,5.0641,6.2505,1.9044,7.4844,18.2719,1.5351,7.5469,-2.7747,-10.2949,13.978,7.0413,6.3152,14.6612,11.5208,-12.8886,5.1787,-2.1985,17.2969,8.7723,4.9293,4.1284,12.9762,13.3918,-3.8303,-3.1781,6.3762,3.2757,-14.3615,12.6271,-0.5919,16.831,11.276,16.3274,1.3347,6.1111,3.8658,1.3112,0.4152,6.2301,10.4628,11.8447,5.2739,-19.5894,16.1319,-23.7472,9.0995,4.8003,13.4956,21.4715,-7.05,5.1269,3.5175,15.0597,13.6382,5.0542,7.7003,9.0721,12.6327,-12.4706,3.4719,1.6393,6.37,-1.4415,7.2771,2.4337,5.0205,5.2906,43.4018,0.7,-1.7215,16.9286,21.8121,11.261,8.0292,19.1244,4.2115,14.5988,-11.241,18.0166,3.867,-16.6677,1.5106,13.2186,7.4641,4.6158,8.9512,4.9919,-21.8112,7.1218,17.6554,9.8334,6.1852,-0.6803,21.4287,18.9007,1.6248,-0.1764,-6.3498,12.0687,32.2788,1.3657,13.0265,4.3237,8.7521,12.2232,14.3767,22.7693,8.8917,4.2011,1.7829,2.5318,2.7708,-1.5715,3.7638,9.4611,-2.1312,4.4412,5.6034,10.548400000000001,5.2878,15.8907,4.3022,12.2686,11.5349,-0.8175,-3.4973,12.4702,12.3589,0.3534,6.7731,6.6295,-9.7523,12.8051,14.5267,14.3286,-0.7268,4.9856,-3.9895,-5.1974,8.2221,8.6677,8.1218,10.9956,9.8592,-14.2013,4.2423,7.7137,22.0002,6.3063,10.0843,19.1817,6.4876,-2.5458,12.8335,-3.3402,11.1585,6.2382,34.8858,5.6929,6.4506,7.085,-14.256,14.0406,3.1519,-3.0509,7.0945,5.6013,8.2472,3.4788,23.6944,-12.7417,24.909,12.5257,2.4679,8.8998,-4.2798,8.8065,-11.048,8.0117,-8.1859,9.5735,18.3412,-3.6235,11.2819,-23.8291,20.2704,1.637,0.9325,5.4694,3.5697,0.0626,21.0173,-0.0102,-4.0493,9.3807,13.1616,-14.1026
train_97501,0,10.6663,8.2088,10.7858,8.5776,12.0108,-13.1348,4.5459,18.8572,0.3489,9.1615,6.1696,-9.9787,14.2234,14.3162,5.7786,15.1974,7.3003,10.3219,9.0524,13.3395,9.0573,8.9534,5.7211,2.988,6.1212,13.2046,-6.2798,-1.2183,4.677,6.5834,0.3904,10.4718,-0.2419,15.3809,11.5593,-0.1444,5.3426,6.111,14.4372,1.0888,-11.0115,15.8316,12.0673,11.4849,12.4729,15.1067,12.9048,-16.8453,23.6753,13.1939,12.2193,10.2458,2.7401,6.8923,-6.9065,4.2267,17.7119,7.5447,0.9362,9.7861,11.7851,-35.4588,0.7708,2.721,5.2052,1.2869,7.8236,6.3223,5.0075,-9.2388,12.0935,1.1555,-4.2824,28.225,14.9822,12.2975,-12.6631,21.4642,9.554,13.4564,16.7887,17.8826,-2.7181,-2.3537,-3.3795,17.2948,3.5277,19.5373,7.9563,4.8573,0.2351,7.1521,12.3435,10.6272,8.3825,-0.3992,15.8515,14.9425,2.5924,-2.0126,-0.5424,16.9205,15.8352,1.7376,9.5491,3.7728,8.9521,2.0882,14.1811,27.2788,5.5847,5.4188,3.5062,4.719,3.291,-0.3532,1.8038,12.9416,9.7742,-0.7589,2.3178,12.8013,3.8838,2.113,4.3032,12.146,11.5354,0.7188,-4.6823,11.9284,12.3104,0.4595,8.6029,6.8114,-7.3268,-6.5913,26.3145,3.566,3.9867,21.9474,-6.0512,12.3263,6.2227,13.8265,8.9787,5.7614,12.8883,-5.4516,3.9359,-15.2972,13.3658,11.0246,12.2996,17.9163,12.7503,-6.3837,11.6049,1.2049,4.0546,9.9589,13.6393,5.141,4.5446,9.0039,-12.0169,22.6921,3.2197,2.4254,10.1033,5.309,-0.9807,6.4163,22.2347,-5.1078,10.0345,13.0105,-2.6815,11.9761,4.7032,7.211,9.5508,9.1547,-7.1572,18.5471,-5.8773,-6.6465,11.5208,8.4608,12.8972,0.0588,-0.5253,2.5019,1.9055,3.3095,21.4678,1.1278,-6.6749,8.0845,17.4041,-16.995
